year,arrivals_thousands,receipts_musd,receipts_mtnd,tourism_pct_exports,revenue_per_visitor_usd,source,investment_mtnd
2000,5058,1977.0,2372,23.0998290853294,390.9,World Bank,
2001,5387,2061.0,2679,21.7772213755876,382.6,World Bank,
2002,5064,1831.0,2600,19.3416578745325,361.6,World Bank,
2003,5114,1935.0,2883,17.7664567448158,378.4,World Bank,
2004,5998,2432.0,3624,18.01138689025,405.5,World Bank,
2005,6378,2800.0,3640,19.220115936815,439.0,World Bank,
2006,6550,2999.0,3989,18.8722447450287,457.9,World Bank,
2007,6762,3373.0,4284,16.8953706382186,498.8,World Bank,
2008,7050,3909.0,4886,15.5861309587375,554.5,World Bank,
2009,7797,3524.0,4757,17.784240229331,452.0,World Bank,
2010,7828,3477.0,4972,15.7151177770762,444.2,World Bank,
2011,5746,2529.0,3566,11.2426709002261,440.1,World Bank,
2012,6999,2931.0,4572,13.2336916207998,418.8,World Bank,
2013,7352,2863.0,4638,13.0276995183533,389.4,World Bank,
2014,7163,3042.0,5171,14.0996285567635,424.7,World Bank,
2015,5359,1869.0,3682,10.7088048142166,348.8,World Bank,
2016,5724,1706.0,3736,10.0951927323951,298.0,World Bank,261.0
2017,7052,1782.0,4402,10.1340626601291,252.7,World Bank,447.0
2018,8299,2320.0,6148,16.9418261648048,279.6,World Bank,216.0
2019,9429,2683.0,7861,19.5251097509597,284.5,World Bank,196.0
2020,2012,1007.0,2830,8.96160222338677,500.5,World Bank,294.0
2021,2187,683.0,1925,4.8,312.0,INS/ONTT,118.0
2022,6067,1516.0,4905,9.2,250.0,INS/ONTT,133.0
2023,9370,2436.0,7600,13.5,260.0,INS/ONTT,150.0
2024,9800,2650.0,8500,14.0,270.0,INS/ONTT,205.0
